Geography,Timeframe,"Current Year Week Ending",Type,"ASP Current Year","Total Bulk and Bags Units","4046 Units","4225 Units","4770 Units","TotalBagged Units","SmlBagged Units","LrgBagged Units","X-LrgBagged Units","Bulk GTIN"
Roanoke,Weekly,"2021-01-04 00:00:00",Conventional,0.770000000,250159.95,75868.79,34838.49,47.69,49635.22,35657.79,8736.87,5240.56,89769.76
Sacramento,Weekly,"2021-01-24 00:00:00",Conventional,1.020000000,623985.99,141912.60,249034.94,4358.72,129247.48,111421.65,17695.83,130.00,99432.25
Sacramento,Weekly,"2021-01-17 00:00:00",Conventional,1.210000000,551415.74,136055.26,202023.42,3417.93,122947.95,101526.70,21381.25,40.00,86971.18
Sacramento,Weekly,"2021-01-10 00:00:00",Conventional,1.030000000,620446.34,155588.72,186603.45,5270.49,115650.37,93899.26,21677.78,73.33,157333.31
Sacramento,Weekly,"2021-01-04 00:00:00",Conventional,0.960000000,634036.18,164985.86,247895.43,6028.51,103201.34,90444.54,12720.13,36.67,111925.04
"San Diego",Weekly,"2021-01-24 00:00:00",Conventional,1.140000000,692735.63,108527.30,34418.62,19739.35,119385.13,105032.64,6304.17,8048.32,410665.23
"San Diego",Weekly,"2021-01-17 00:00:00",Conventional,1.160000000,685588.50,115894.57,29989.61,22078.48,131305.70,115317.78,6421.53,9566.39,386320.14
"San Diego",Weekly,"2021-01-10 00:00:00",Conventional,1.190000000,685430.21,113059.29,30638.22,19703.20,130464.82,116981.03,3239.58,10244.21,391564.68
"San Diego",Weekly,"2021-01-04 00:00:00",Conventional,0.920000000,768316.53,125561.48,39192.18,26053.11,112813.52,100847.54,2773.21,9192.77,464696.24
"San Francisco",Weekly,"2021-01-24 00:00:00",Conventional,1.370000000,958934.24,193545.61,216371.74,8187.81,211085.13,206640.55,4397.91,46.67,329743.95
"San Francisco",Weekly,"2021-01-17 00:00:00",Conventional,1.390000000,926940.07,203429.90,228238.12,7802.71,191507.48,185828.04,5669.44,10.00,295961.86
"San Francisco",Weekly,"2021-01-10 00:00:00",Conventional,1.000000000,1204533.44,264744.04,217613.31,8510.61,174953.30,172764.13,2162.50,26.67,538712.18
"San Francisco",Weekly,"2021-01-04 00:00:00",Conventional,1.180000000,1065026.47,281599.88,206768.90,10505.91,169898.30,166916.35,2965.28,16.67,396253.48
Seattle,Weekly,"2021-01-24 00:00:00",Conventional,1.070000000,780443.78,96929.41,102155.79,160.20,68295.16,68295.16,0.00,0.00,512903.22
Seattle,Weekly,"2021-01-17 00:00:00",Conventional,1.060000000,761169.69,83761.94,110912.91,192.08,73317.01,73317.01,0.00,0.00,492985.75
Seattle,Weekly,"2021-01-10 00:00:00",Conventional,1.070000000,780462.68,95595.77,126350.24,182.87,87840.26,87833.59,0.00,6.67,470493.54
Seattle,Weekly,"2021-01-04 00:00:00",Conventional,0.980000000,835076.89,89950.91,186652.87,166.38,75345.07,74756.88,588.19,0.00,482961.66
"South Carolina",Weekly,"2021-01-24 00:00:00",Conventional,0.870000000,619350.93,261316.65,50029.74,2203.11,168426.04,130252.37,37350.90,822.77,137375.39
"South Carolina",Weekly,"2021-01-17 00:00:00",Conventional,0.890000000,629813.55,236991.90,51101.42,1683.47,195808.60,148387.41,43271.19,4150.00,144228.16
"South Carolina",Weekly,"2021-01-10 00:00:00",Conventional,0.860000000,638727.76,245624.03,49482.65,1399.32,203082.35,158982.73,42979.62,1120.00,139139.41
"South Carolina",Weekly,"2021-01-04 00:00:00",Conventional,0.800000000,660809.25,271945.32,60323.06,1702.75,186784.82,149559.15,34168.45,3057.22,140053.30
"South Central",Weekly,"2021-01-24 00:00:00",Conventional,0.670000000,8548673.05,2768809.73,1026147.94,136919.97,2144690.84,1607954.06,491270.11,45466.67,2472104.57
"South Central",Weekly,"2021-01-17 00:00:00",Conventional,0.680000000,8192028.99,2995927.21,849618.69,185867.39,2238179.29,1572334.51,615864.78,49980.00,1922436.41
"South Central",Weekly,"2021-01-10 00:00:00",Conventional,0.660000000,8635983.33,2853535.77,1051632.93,134928.37,2442737.50,1651082.33,745598.51,46056.66,2153148.76
"South Central",Weekly,"2021-01-04 00:00:00",Conventional,0.600000000,8804735.50,2873421.83,1524878.42,270286.42,2056823.31,1337176.94,693313.04,26333.33,2079325.52
Southeast,Weekly,"2021-01-24 00:00:00",Conventional,0.820000000,6740026.76,2897787.44,271164.29,3131.85,1751725.42,1302906.03,428217.72,20601.67,1816217.76
Southeast,Weekly,"2021-01-17 00:00:00",Conventional,0.810000000,6604655.76,2687804.53,257669.07,2601.48,1890313.24,1376344.43,447016.59,66952.22,1766267.44
Southeast,Weekly,"2021-01-10 00:00:00",Conventional,0.810000000,6469414.44,2711531.26,258075.45,2406.92,1720912.35,1293456.30,394476.61,32979.44,1776488.46
Southeast,Weekly,"2021-01-04 00:00:00",Conventional,0.750000000,6407185.99,2745830.20,335940.98,2624.77,1579399.22,1174659.11,356284.56,48455.55,1743390.82
Spokane,Weekly,"2021-01-24 00:00:00",Conventional,0.930000000,138297.01,21170.44,15197.61,14.02,15666.86,15666.86,0.00,0.00,86248.08
Spokane,Weekly,"2021-01-17 00:00:00",Conventional,0.940000000,132696.52,20330.77,14951.68,27.96,15799.41,15799.41,0.00,0.00,81586.70
Spokane,Weekly,"2021-01-10 00:00:00",Conventional,0.910000000,135345.81,21478.72,18197.07,7.95,20972.73,20972.73,0.00,0.00,74689.34
Spokane,Weekly,"2021-01-04 00:00:00",Conventional,0.840000000,140256.19,20360.47,24264.74,29.72,15686.56,15283.09,403.47,0.00,79914.70
"St. Louis",Weekly,"2021-01-24 00:00:00",Conventional,0.850000000,281860.61,124767.22,13923.70,28.25,83307.59,82483.16,814.43,10.00,59833.85
"St. Louis",Weekly,"2021-01-17 00:00:00",Conventional,0.830000000,261775.71,109819.80,13717.18,64.95,83738.24,83247.22,487.69,3.33,54435.54
"St. Louis",Weekly,"2021-01-10 00:00:00",Conventional,0.790000000,290446.70,127377.30,20467.42,67.02,78958.90,78579.81,375.76,3.33,63576.06
"St. Louis",Weekly,"2021-01-04 00:00:00",Conventional,0.730000000,303228.99,145012.42,13035.13,47.81,71671.36,71190.17,474.52,6.67,73462.27
Syracuse,Weekly,"2021-01-24 00:00:00",Conventional,0.940000000,123122.50,13154.62,57382.89,580.40,48284.07,43730.11,3050.63,1503.33,3720.52
Syracuse,Weekly,"2021-01-17 00:00:00",Conventional,1.060000000,115533.70,10566.25,47085.74,764.91,51465.28,35691.17,12760.78,3013.33,5651.52
Syracuse,Weekly,"2021-01-10 00:00:00",Conventional,1.050000000,111904.19,10383.56,46116.09,967.72,50424.52,39547.80,7650.05,3226.67,4012.30
Syracuse,Weekly,"2021-01-04 00:00:00",Conventional,0.920000000,108405.89,11554.60,53690.09,802.51,38581.01,28158.36,7625.98,2796.67,3777.68
Tampa,Weekly,"2021-01-24 00:00:00",Conventional,0.800000000,749855.72,301362.61,23527.33,17.80,211981.01,122692.53,89275.15,13.33,212966.97
Tampa,Weekly,"2021-01-17 00:00:00",Conventional,0.780000000,715436.92,278764.46,22890.61,35.61,216505.39,126267.41,90207.98,30.00,197240.85
Tampa,Weekly,"2021-01-10 00:00:00",Conventional,0.790000000,682349.95,266792.03,20937.50,19.61,199018.95,118242.92,80736.03,40.00,195581.86
Tampa,Weekly,"2021-01-04 00:00:00",Conventional,0.720000000,688574.76,278390.17,31915.77,13.45,185659.80,114815.64,70840.83,3.33,192595.57
"Total U.S.",Weekly,"2021-01-24 00:00:00",Conventional,0.880000000,53237040.17,13116601.84,10289480.96,990601.25,12621867.75,10119268.97,2246769.63,255829.15,16218488.37
"Total U.S.",Weekly,"2021-01-17 00:00:00",Conventional,0.890000000,52941977.05,14077153.29,9387408.58,1118254.12,13374805.95,10319642.40,2688417.33,366746.22,14984355.11
"Total U.S.",Weekly,"2021-01-10 00:00:00",Conventional,0.890000000,51613834.04,13363389.86,8941365.96,710736.14,13139393.14,10377350.77,2422839.66,339202.71,15458948.94
"Total U.S.",Weekly,"2021-01-04 00:00:00",Conventional,0.800000000,53700226.15,13743429.80,10634953.92,1146453.33,11812596.90,8915223.29,2604128.77,293244.84,16362792.20
West,Weekly,"2021-01-24 00:00:00",Conventional,0.840000000,9035538.27,1721631.76,1173203.94,23811.42,1678243.81,1365205.00,302218.21,10820.60,4438647.34
West,Weekly,"2021-01-17 00:00:00",Conventional,0.830000000,9057420.15,2039872.32,978916.72,23717.25,1859499.27,1362506.91,483979.03,13013.33,4155414.59
West,Weekly,"2021-01-10 00:00:00",Conventional,0.850000000,9014784.63,1948574.20,1067852.27,25147.25,1833960.73,1512795.65,302955.64,18209.44,4139250.18
West,Weekly,"2021-01-04 00:00:00",Conventional,0.750000000,9667471.08,1940214.23,1445316.40,36956.88,1508179.62,1226449.39,266002.17,15728.06,4736803.95
"West Tex/New Mexico",Weekly,"2021-01-24 00:00:00",Conventional,0.640000000,1200129.95,346320.08,108086.03,9884.54,472566.68,302113.32,170440.03,13.33,263272.62
"West Tex/New Mexico",Weekly,"2021-01-17 00:00:00",Conventional,0.610000000,1238258.58,344028.58,112122.89,10450.38,536623.23,269329.05,267284.18,10.00,235033.50
"West Tex/New Mexico",Weekly,"2021-01-10 00:00:00",Conventional,0.640000000,1138008.14,337000.14,108841.20,13972.37,432536.20,315099.32,117420.21,16.67,245658.23
"West Tex/New Mexico",Weekly,"2021-01-04 00:00:00",Conventional,0.580000000,1172270.09,327434.29,221760.49,21968.48,334398.74,229528.57,104856.84,13.33,266708.09
Albany,Weekly,"2021-01-24 00:00:00",Organic,1.340000000,3802.00,45.00,465.00,0.00,3081.00,1875.00,1206.00,0.00,212.00
Albany,Weekly,"2021-01-17 00:00:00",Organic,1.330000000,4432.00,137.00,436.00,0.00,3556.00,2209.00,1347.00,0.00,303.00
Albany,Weekly,"2021-01-10 00:00:00",Organic,1.280000000,4634.00,58.00,481.00,0.00,3849.00,2134.00,1715.00,0.00,245.00
Albany,Weekly,"2021-01-04 00:00:00",Organic,1.390000000,3427.00,62.00,457.00,12.00,2692.00,1470.00,1222.00,0.00,204.00
Atlanta,Weekly,"2021-01-24 00:00:00",Organic,1.340000000,48944.00,51.00,3479.00,0.00,23589.00,10833.00,12756.00,0.00,21826.00
Atlanta,Weekly,"2021-01-17 00:00:00",Organic,1.420000000,47331.00,69.00,3332.00,0.00,24808.00,12003.00,12804.00,0.00,19122.00
Atlanta,Weekly,"2021-01-10 00:00:00",Organic,1.330000000,44631.00,157.00,3440.00,0.00,21761.00,10613.00,11148.00,0.00,19273.00
Atlanta,Weekly,"2021-01-04 00:00:00",Organic,1.250000000,40863.00,90.00,3475.00,0.00,18800.00,9690.00,9110.00,0.00,18498.00
Baltimore/Washington,Weekly,"2021-01-24 00:00:00",Organic,1.190000000,94918.00,685.00,3729.00,8.00,89175.00,84253.00,4922.00,0.00,1322.00
Baltimore/Washington,Weekly,"2021-01-17 00:00:00",Organic,1.210000000,94003.00,803.00,3980.00,4.00,86058.00,80882.00,5176.00,0.00,3157.00
Baltimore/Washington,Weekly,"2021-01-10 00:00:00",Organic,1.250000000,92131.00,687.00,3361.00,4.00,86634.00,80930.00,5704.00,0.00,1445.00
Baltimore/Washington,Weekly,"2021-01-04 00:00:00",Organic,1.220000000,83583.00,649.00,3726.00,0.00,77570.00,71379.00,6191.00,0.00,1637.00
Boise,Weekly,"2021-01-24 00:00:00",Organic,1.400000000,7540.00,12.00,674.00,0.00,3141.00,1794.00,1347.00,0.00,3711.00
Boise,Weekly,"2021-01-17 00:00:00",Organic,1.410000000,7751.00,17.00,718.00,0.00,3131.00,1951.00,1180.00,0.00,3884.00
Boise,Weekly,"2021-01-10 00:00:00",Organic,1.460000000,7886.00,10.00,874.00,0.00,3478.00,2196.00,1282.00,0.00,3524.00
Boise,Weekly,"2021-01-04 00:00:00",Organic,1.450000000,7770.00,5.00,1063.00,0.00,2865.00,1811.00,1054.00,0.00,3838.00
Boston,Weekly,"2021-01-24 00:00:00",Organic,1.500000000,72395.00,119.00,2146.00,0.00,69721.00,68402.00,1319.00,0.00,409.00
Boston,Weekly,"2021-01-17 00:00:00",Organic,1.740000000,51864.00,197.00,2011.00,0.00,49258.00,47590.00,1668.00,0.00,399.00
Boston,Weekly,"2021-01-10 00:00:00",Organic,1.670000000,55308.00,193.00,2250.00,0.00,52388.00,50551.00,1836.00,0.00,477.00
Boston,Weekly,"2021-01-04 00:00:00",Organic,1.650000000,38871.00,78.00,4066.00,0.00,34514.00,32938.00,1576.00,0.00,213.00
Buffalo/Rochester,Weekly,"2021-01-24 00:00:00",Organic,1.440000000,18381.00,1254.00,144.00,0.00,16982.00,16982.00,0.00,0.00,0.00
Buffalo/Rochester,Weekly,"2021-01-17 00:00:00",Organic,1.470000000,19088.00,1081.00,98.00,0.00,17908.00,17908.00,0.00,0.00,0.00
Buffalo/Rochester,Weekly,"2021-01-10 00:00:00",Organic,1.380000000,23933.00,1122.00,157.00,0.00,22654.00,22654.00,0.00,0.00,0.00
Buffalo/Rochester,Weekly,"2021-01-04 00:00:00",Organic,1.350000000,14177.00,912.00,148.00,1.00,13117.00,13117.00,0.00,0.00,0.00
California,Weekly,"2021-01-24 00:00:00",Organic,1.700000000,404877.00,24928.00,27072.00,0.00,182802.00,125181.00,57621.00,0.00,170074.00
California,Weekly,"2021-01-17 00:00:00",Organic,1.740000000,398850.00,23426.00,20704.00,9.00,182669.00,129243.00,53426.00,0.00,172042.00
California,Weekly,"2021-01-10 00:00:00",Organic,1.730000000,373041.00,21994.00,22157.00,38.00,171386.00,117373.00,54012.00,0.00,157465.00
California,Weekly,"2021-01-04 00:00:00",Organic,1.560000000,383929.00,19270.00,22389.00,15.00,170490.00,122652.00,47838.00,0.00,171764.00
Charlotte,Weekly,"2021-01-24 00:00:00",Organic,1.350000000,20471.00,71.00,3416.00,31.00,16731.00,16722.00,9.00,0.00,222.00
Charlotte,Weekly,"2021-01-17 00:00:00",Organic,1.400000000,20440.00,84.00,3333.00,25.00,16083.00,16074.00,9.00,0.00,916.00
Charlotte,Weekly,"2021-01-10 00:00:00",Organic,1.410000000,20649.00,142.00,3583.00,42.00,16118.00,16118.00,0.00,0.00,764.00
Charlotte,Weekly,"2021-01-04 00:00:00",Organic,1.340000000,21420.00,105.00,4375.00,22.00,16203.00,16190.00,13.00,0.00,716.00
Chicago,Weekly,"2021-01-24 00:00:00",Organic,1.340000000,77450.00,443.00,3712.00,0.00,49843.00,9702.00,40141.00,0.00,23452.00
Chicago,Weekly,"2021-01-17 00:00:00",Organic,1.460000000,68519.00,700.00,3861.00,0.00,37197.00,13759.00,23437.00,0.00,26761.00
Chicago,Weekly,"2021-01-10 00:00:00",Organic,1.190000000,112367.00,690.00,3504.00,0.00,82036.00,13242.00,68794.00,0.00,26137.00
Chicago,Weekly,"2021-01-04 00:00:00",Organic,1.160000000,116724.00,534.00,3243.00,0.00,86718.00,10599.00,76119.00,0.00,26229.00
Cincinnati/Dayton,Weekly,"2021-01-24 00:00:00",Organic,1.390000000,22561.00,626.00,2629.00,0.00,7441.00,2059.00,5383.00,0.00,11865.00
Cincinnati/Dayton,Weekly,"2021-01-17 00:00:00",Organic,1.410000000,23496.00,591.00,2690.00,0.00,7025.00,1872.00,5153.00,0.00,13190.00
Cincinnati/Dayton,Weekly,"2021-01-10 00:00:00",Organic,1.370000000,19239.00,534.00,2109.00,0.00,7386.00,2173.00,5213.00,0.00,9210.00
Cincinnati/Dayton,Weekly,"2021-01-04 00:00:00",Organic,1.280000000,19577.00,413.00,2720.00,0.00,5460.00,1552.00,3908.00,0.00,10984.00
Columbus,Weekly,"2021-01-24 00:00:00",Organic,1.330000000,14110.00,1688.00,1090.00,0.00,6785.00,2403.00,4382.00,0.00,4546.00
Columbus,Weekly,"2021-01-17 00:00:00",Organic,1.330000000,16268.00,1260.00,1359.00,0.00,6926.00,2502.00,4424.00,0.00,6723.00
Columbus,Weekly,"2021-01-10 00:00:00",Organic,1.340000000,15088.00,720.00,1286.00,0.00,6930.00,2550.00,4380.00,0.00,6151.00
Columbus,Weekly,"2021-01-04 00:00:00",Organic,1.260000000,11672.00,595.00,1084.00,0.00,4522.00,1757.00,2765.00,0.00,5470.00
"Dallas/Ft. Worth",Weekly,"2021-01-24 00:00:00",Organic,0.980000000,95387.00,5590.00,3012.00,498.00,40033.00,24180.00,15853.00,0.00,46255.00
"Dallas/Ft. Worth",Weekly,"2021-01-17 00:00:00",Organic,1.180000000,65422.00,4240.00,170.00,2246.00,40093.00,23401.00,16692.00,0.00,18673.00
"Dallas/Ft. Worth",Weekly,"2021-01-10 00:00:00",Organic,1.090000000,79651.00,5144.00,1134.00,10434.00,41808.00,23616.00,18192.00,0.00,21130.00
"Dallas/Ft. Worth",Weekly,"2021-01-04 00:00:00",Organic,1.130000000,54101.00,4396.00,88.00,263.00,34639.00,21443.00,13196.00,0.00,14715.00
Denver,Weekly,"2021-01-24 00:00:00",Organic,1.110000000,67975.00,4599.00,826.00,0.00,33797.00,11058.00,22739.00,0.00,28753.00
Denver,Weekly,"2021-01-17 00:00:00",Organic,1.110000000,58897.00,3880.00,758.00,0.00,28905.00,10396.00,18509.00,0.00,25354.00
Denver,Weekly,"2021-01-10 00:00:00",Organic,1.030000000,76495.00,6764.00,1020.00,0.00,32723.00,13048.00,19675.00,0.00,35987.00
Denver,Weekly,"2021-01-04 00:00:00",Organic,1.090000000,58547.00,4158.00,975.00,0.00,27813.00,10779.00,17034.00,0.00,25602.00
Detroit,Weekly,"2021-01-24 00:00:00",Organic,1.260000000,28294.00,1023.00,2468.00,0.00,14007.00,5788.00,8219.00,0.00,10796.00
Detroit,Weekly,"2021-01-17 00:00:00",Organic,1.300000000,30352.00,571.00,2666.00,0.00,14247.00,5959.00,8288.00,0.00,12868.00
Detroit,Weekly,"2021-01-10 00:00:00",Organic,1.180000000,30619.00,439.00,2383.00,0.00,18533.00,9824.00,8709.00,0.00,9264.00
Detroit,Weekly,"2021-01-04 00:00:00",Organic,1.190000000,21700.00,310.00,2371.00,0.00,11461.00,3986.00,7475.00,0.00,7558.00
"Grand Rapids",Weekly,"2021-01-24 00:00:00",Organic,0.930000000,15924.00,27.00,1155.00,0.00,14741.00,14741.00,0.00,0.00,1.00
"Grand Rapids",Weekly,"2021-01-17 00:00:00",Organic,1.250000000,8116.00,32.00,1181.00,0.00,6903.00,6903.00,0.00,0.00,0.00
"Grand Rapids",Weekly,"2021-01-10 00:00:00",Organic,1.070000000,10792.00,31.00,1584.00,0.00,9177.00,9037.00,140.00,0.00,0.00
"Grand Rapids",Weekly,"2021-01-04 00:00:00",Organic,1.190000000,7974.00,59.00,2127.00,0.00,5788.00,4549.00,1240.00,0.00,0.00
"Great Lakes",Weekly,"2021-01-24 00:00:00",Organic,1.270000000,273198.00,8386.00,18524.00,0.00,165715.00,82117.00,83493.00,105.00,80572.00
"Great Lakes",Weekly,"2021-01-17 00:00:00",Organic,1.350000000,268158.00,8286.00,19992.00,0.00,141442.00,76294.00,65038.00,111.00,98437.00
"Great Lakes",Weekly,"2021-01-10 00:00:00",Organic,1.220000000,311846.00,6504.00,18782.00,0.00,202350.00,88664.00,113678.00,9.00,84209.00
"Great Lakes",Weekly,"2021-01-04 00:00:00",Organic,1.210000000,279007.00,6475.00,20112.00,0.00,170396.00,56973.00,113423.00,0.00,82024.00
Harrisburg/Scranton,Weekly,"2021-01-24 00:00:00",Organic,1.170000000,23188.00,272.00,535.00,0.00,22356.00,22223.00,133.00,0.00,25.00
Harrisburg/Scranton,Weekly,"2021-01-17 00:00:00",Organic,1.150000000,23218.00,643.00,585.00,0.00,21949.00,21810.00,139.00,0.00,42.00
Harrisburg/Scranton,Weekly,"2021-01-10 00:00:00",Organic,1.130000000,24170.00,228.00,538.00,0.00,23390.00,23252.00,138.00,0.00,14.00
Harrisburg/Scranton,Weekly,"2021-01-04 00:00:00",Organic,1.170000000,20428.00,330.00,462.00,0.00,19631.00,19488.00,143.00,0.00,5.00
Hartford/Springfield,Weekly,"2021-01-24 00:00:00",Organic,1.630000000,33418.00,382.00,7719.00,0.00,25233.00,25233.00,0.00,0.00,84.00
Hartford/Springfield,Weekly,"2021-01-17 00:00:00",Organic,1.840000000,24507.00,1223.00,7905.00,0.00,15149.00,15149.00,0.00,0.00,230.00
Hartford/Springfield,Weekly,"2021-01-10 00:00:00",Organic,1.620000000,29237.00,516.00,8483.00,6.00,20118.00,20118.00,0.00,0.00,115.00
Hartford/Springfield,Weekly,"2021-01-04 00:00:00",Organic,1.350000000,27212.00,324.00,16177.00,0.00,10688.00,10688.00,0.00,0.00,23.00
Houston,Weekly,"2021-01-24 00:00:00",Organic,1.030000000,51326.00,5160.00,762.00,0.00,16944.00,1214.00,15729.00,0.00,28461.00
Houston,Weekly,"2021-01-17 00:00:00",Organic,1.240000000,35226.00,5122.00,4.00,0.00,17554.00,1468.00,16087.00,0.00,12545.00
Houston,Weekly,"2021-01-10 00:00:00",Organic,1.170000000,36529.00,6069.00,0.00,0.00,15994.00,1548.00,14446.00,0.00,14466.00
Houston,Weekly,"2021-01-04 00:00:00",Organic,1.140000000,30140.00,6139.00,13.00,0.00,11800.00,881.00,10918.00,0.00,12189.00
Indianapolis,Weekly,"2021-01-24 00:00:00",Organic,1.230000000,12004.00,137.00,1116.00,0.00,6527.00,2788.00,3739.00,0.00,4224.00
Indianapolis,Weekly,"2021-01-17 00:00:00",Organic,1.240000000,13768.00,172.00,1266.00,0.00,6789.00,3449.00,3341.00,0.00,5540.00
Indianapolis,Weekly,"2021-01-10 00:00:00",Organic,1.170000000,13078.00,181.00,911.00,0.00,8206.00,4484.00,3722.00,0.00,3779.00
Indianapolis,Weekly,"2021-01-04 00:00:00",Organic,1.160000000,10239.00,144.00,875.00,0.00,5914.00,3068.00,2846.00,0.00,3306.00
Jacksonville,Weekly,"2021-01-24 00:00:00",Organic,0.970000000,5780.00,75.00,244.00,0.00,5461.00,2923.00,0.00,2538.00,0.00
Jacksonville,Weekly,"2021-01-17 00:00:00",Organic,1.050000000,5542.00,66.00,216.00,0.00,5202.00,1801.00,3.00,3398.00,58.00
Jacksonville,Weekly,"2021-01-10 00:00:00",Organic,1.010000000,5843.00,74.00,266.00,0.00,5474.00,2829.00,3.00,2643.00,28.00
Jacksonville,Weekly,"2021-01-04 00:00:00",Organic,0.900000000,7297.00,43.00,295.00,2.00,6921.00,4654.00,0.00,2266.00,37.00
"Las Vegas",Weekly,"2021-01-24 00:00:00",Organic,1.360000000,19091.00,932.00,326.00,0.00,8427.00,4104.00,4322.00,0.00,9407.00
"Las Vegas",Weekly,"2021-01-17 00:00:00",Organic,1.400000000,20816.00,978.00,571.00,0.00,8837.00,4551.00,4286.00,0.00,10431.00
"Las Vegas",Weekly,"2021-01-10 00:00:00",Organic,1.360000000,20922.00,923.00,712.00,0.00,9017.00,4912.00,4105.00,0.00,10270.00
"Las Vegas",Weekly,"2021-01-04 00:00:00",Organic,1.330000000,16147.00,601.00,363.00,0.00,6837.00,4087.00,2751.00,0.00,8346.00
"Los Angeles",Weekly,"2021-01-24 00:00:00",Organic,1.580000000,189008.00,11971.00,2568.00,0.00,77324.00,26404.00,50919.00,0.00,97144.00
"Los Angeles",Weekly,"2021-01-17 00:00:00",Organic,1.630000000,185385.00,10245.00,2811.00,6.00,76070.00,29586.00,46484.00,0.00,96253.00
"Los Angeles",Weekly,"2021-01-10 00:00:00",Organic,1.640000000,175162.00,9452.00,3152.00,11.00,74331.00,26789.00,47542.00,0.00,88216.00
"Los Angeles",Weekly,"2021-01-04 00:00:00",Organic,1.360000000,171436.00,7510.00,3285.00,6.00,67197.00,24960.00,42237.00,0.00,93438.00
Louisville,Weekly,"2021-01-24 00:00:00",Organic,1.310000000,9365.00,2.00,694.00,0.00,4809.00,201.00,3535.00,1073.00,3859.00
Louisville,Weekly,"2021-01-17 00:00:00",Organic,1.450000000,10866.00,1.00,789.00,0.00,5790.00,232.00,4461.00,1097.00,4286.00
Louisville,Weekly,"2021-01-10 00:00:00",Organic,1.290000000,10893.00,11.00,949.00,0.00,5520.00,459.00,4221.00,840.00,4412.00
Louisville,Weekly,"2021-01-04 00:00:00",Organic,1.190000000,8991.00,19.00,806.00,0.00,4202.00,323.00,3170.00,709.00,3964.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-24 00:00:00",Organic,0.920000000,19414.00,311.00,0.00,0.00,19103.00,19012.00,0.00,90.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-17 00:00:00",Organic,0.920000000,22881.00,293.00,7.00,0.00,22582.00,21503.00,0.00,1079.00,0.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-10 00:00:00",Organic,0.940000000,23611.00,445.00,10.00,0.00,23147.00,21828.00,0.00,1318.00,10.00
"Miami/Ft. Lauderdale",Weekly,"2021-01-04 00:00:00",Organic,0.930000000,15803.00,179.00,0.00,0.00,15624.00,14443.00,0.00,1181.00,0.00
Midsouth,Weekly,"2021-01-24 00:00:00",Organic,1.190000000,360742.00,2657.00,25766.00,184.00,292344.00,224870.00,51284.00,16190.00,39791.00
Midsouth,Weekly,"2021-01-17 00:00:00",Organic,1.250000000,352543.00,2948.00,25917.00,171.00,277294.00,206969.00,54637.00,15689.00,46212.00
Midsouth,Weekly,"2021-01-10 00:00:00",Organic,1.230000000,346211.00,2874.00,25993.00,213.00,273620.00,207968.00,50573.00,15079.00,43511.00
Midsouth,Weekly,"2021-01-04 00:00:00",Organic,1.150000000,321407.00,2608.00,26300.00,142.00,255704.00,196374.00,47500.00,11830.00,36653.00
Nashville,Weekly,"2021-01-24 00:00:00",Organic,1.220000000,24652.00,24.00,1583.00,0.00,14574.00,1788.00,8163.00,4623.00,8471.00
Nashville,Weekly,"2021-01-17 00:00:00",Organic,1.320000000,24365.00,36.00,1507.00,0.00,14398.00,2319.00,7896.00,4183.00,8423.00
Nashville,Weekly,"2021-01-10 00:00:00",Organic,1.230000000,23601.00,22.00,1460.00,0.00,13258.00,2225.00,7183.00,3850.00,8861.00
Nashville,Weekly,"2021-01-04 00:00:00",Organic,1.120000000,18136.00,46.00,945.00,0.00,11854.00,2144.00,6344.00,3366.00,5292.00
"New Orleans/Mobile",Weekly,"2021-01-24 00:00:00",Organic,1.050000000,11924.00,41.00,40.00,0.00,10441.00,3186.00,7255.00,0.00,1402.00
"New Orleans/Mobile",Weekly,"2021-01-17 00:00:00",Organic,1.110000000,7775.00,32.00,0.00,0.00,6388.00,3539.00,2849.00,0.00,1355.00
"New Orleans/Mobile",Weekly,"2021-01-10 00:00:00",Organic,1.110000000,10015.00,48.00,0.00,0.00,8530.00,3175.00,5355.00,0.00,1437.00
"New Orleans/Mobile",Weekly,"2021-01-04 00:00:00",Organic,1.090000000,8290.00,65.00,0.00,0.00,6897.00,2683.00,4214.00,0.00,1327.00
"New York",Weekly,"2021-01-24 00:00:00",Organic,1.510000000,162866.00,14252.00,10033.00,14.00,133275.00,133275.00,0.00,0.00,5292.00
"New York",Weekly,"2021-01-17 00:00:00",Organic,1.570000000,143843.00,22115.00,13307.00,12.00,101251.00,101251.00,0.00,0.00,7157.00
"New York",Weekly,"2021-01-10 00:00:00",Organic,1.340000000,190713.00,11679.00,8791.00,21.00,164669.00,164669.00,0.00,0.00,5552.00
"New York",Weekly,"2021-01-04 00:00:00",Organic,1.630000000,95843.00,11040.00,10652.00,4.00,68827.00,68827.00,0.00,0.00,5321.00
Northeast,Weekly,"2021-01-24 00:00:00",Organic,1.470000000,431385.00,22724.00,27778.00,23.00,364720.00,349348.00,15373.00,0.00,16140.00
Northeast,Weekly,"2021-01-17 00:00:00",Organic,1.520000000,399275.00,36313.00,32691.00,11.00,310004.00,293006.00,16997.00,0.00,20256.00
